Acacia_species114,784.335
Acacia_species425,138.102
Acacia_species378,171.378
Acacia_species91,397.895
Acacia_species493,138.971
Acacia_species138,311.963
Lysiloma_species6,765.443
Leucaena_species6,1098.12
Acacia_species506,114.3
Mimosa_species79,878.87
Inga_species60,643.545
Inga_species145,122.185
Acacia_species572,205.434
Acacia_species118,161.12
Acacia_species543,131.124
Calliandra_species48,888.9
Acacia_species480,72.8421
Calliandra_species61,788.803
Acacia_species273,276.522
Acacia_species547,217.902
Acacia_species405,460
Mimosa_species136,1364.33
Albizia_species56,356.606
Acacia_species218,56.4618
Acacia_species170,82.4195
Acacia_species494,493.167
Hydrochorea_species1,185.041
Mimosa_species166,522.57
Mimosa_species171,1302.46
Faidherbia_species1,456.119
Calliandra_species65,802.618
Acacia_species315,122.069
Albizia_species6,737.31
Inga_species110,267.044
Mimosa_species5,1798.82
Acacia_species98,801.778
Calliandra_species19,815.566
Elephantorrhiza_species2,757.236
Pithecellobium_species19,139.562
Acacia_species147,95.5197
Gagnebina_species1,314.643
Calliandra_species6,644
Albizia_species16,254.619
Acacia_species359,320.9
Mimosa_species115,385.65
Acacia_species588,336.451
Acacia_species263,395.5
Inga_species132,314.841
Acacia_species592,105.75
Calliandra_species22,803.148
Mimosa_species44,553.69
Acacia_species391,173.557
Acacia_species85,422
Acacia_species164,385.389
Albizia_species63,232.588
Inga_species15,158.909
Acacia_species257,1037.96
Acacia_species557,255.832
Acacia_species385,70.0984
Inga_species125,289.244
Fillaeopsis_species3,301.773
Inga_species146,985
Mimosa_species169,52.9058
Acacia_species190,607.808
Prosopis_species12,226
Acacia_species600,177.292
Inga_species101,473.027
Samanea_species2,328.031
Acacia_species301,149.333
Inga_species37,553.5
Acacia_species560,262.4
Acacia_species475,1136.63
Piptadenia_species10,603.107
Mimosa_species114,540.65
Acacia_species45,54.8846
Acacia_species81,315.631
Albizia_species41,431.048
Inga_species64,408.968
Acacia_species214,599.211
Acacia_species15,267.143
Mimosa_species167,168.25
Acacia_species387,588.136
Afrocalliandra_redacta,0
Acacia_species465,211.541
Jacqueshuberia_species3,119.714
Abarema_species32,721.2
Zapoteca_media,1413.92
Mimosa_species93,1428.84
Acacia_species373,224.952
Jacqueshuberia_species2,750.833
Mimosa_species75,846.786
Albizia_species12,179.012
Jacqueshuberia_species1,138
Albizia_species11,219
Calliandra_species43,512.78
Senegalia_species11,688.782
Inga_species94,401.422
Viguieranthus_species3,374.433
Mimosa_species85,1387.55
Acacia_species95,283.724
Acacia_species21,223.754
Acacia_species450,75.2921
Acacia_species429,261.806
Abarema_species15,183.091
Mimosa_species53,553
Acacia_species157,376.051
Acacia_species478,249.472
Albizia_species61,974.628
Acacia_species108,299.672
Mimosa_species4,1688.39
Acacia_species345,139.359
Vachellia_species1,565.26
Mimosa_species180,1461.5
Archidendron_species2,789.364
Abarema_species26,493.7
Mimosa_species128,900
Albizia_species9,124.188
Inga_species84,299.824
Acacia_species227,1650.23
Mimosa_species123,587.886
Acacia_species130,1324.52
Senegalia_species7,2232
Acacia_species247,117.025
Acacia_species46,309.685
Acacia_species238,402.143
Plathymenia_species1,560.932
Acacia_species550,198.563
Acacia_species224,285.192
Mimosa_species7,1115.26
Abarema_species13,577.725
Archidendron_species6,259.549
Inga_species124,245.642
Acacia_species212,210.042
Albizia_species20,582.183
Acacia_species446,438.871
Leucaena_species5,317.836
Acacia_species241,116.231
Acacia_species609,362.234
Inga_species79,950.59
Acacia_species204,216.625
Acacia_species135,253.292
Entada_species2,335.351
Acacia_species55,340.373
Acacia_species458,1279.41
Acacia_species189,231.364
Lysiloma_species4,65.0543
Albizia_species28,227.889
Acacia_species492,141.5
Inga_species115,1565.44
Mimosa_species8,963.726
Cojoba_species3,1290.56
Senegalia_species8,733.643
Acacia_species290,366.822
Mimosa_species153,1348.83
Acacia_species179,282.553
Falcataria_species2,623.255
Acacia_species103,286.681
Mimosa_species157,944.97
Acacia_species323,520.882
Acacia_species326,210.972
Zygia_recordii,76.2674
Mimosa_species86,1006.37
Acacia_species449,420.773
Albizia_species48,763.969
Acacia_species5,348.953
Mimosa_species181,358.035
Acacia_species397,127.349
Acacia_species261,1011.33
Macrosamanea_species3,208.679
Calliandra_species27,988.104
Acacia_species541,654.837
Abarema_species17,405.111
Inga_species89,122.5
Inga_species131,321.922
Desmanthus_species10,289.273
Acacia_species223,1189.48
Calliandra_species45,947.16
Acacia_species335,231.292
Macrosamanea_species2,79.2174
Calliandra_species15,702.934
Zygia_claviflora,423.143
Acacia_species172,80.8284
Acacia_species13,422.876
Piptadenia_species5,570.364
Acacia_species559,284.485
Inga_species108,577.023
Mimosa_species129,64
Acacia_species539,351.672
Acacia_species593,272.111
Zygia_rhytidocarpa,446
Tetrapleura_species1,323.846
Abarema_species12,82.0729
Mimosa_species120,130.76
Abarema_species2,186.444
Acacia_species151,483.628
Mimosa_species117,127.053
Acacia_species485,564.303
Acacia_species470,140.933
Acacia_species430,144.872
Acacia_species602,179.57
Acacia_species1,1743.81
Acacia_species282,543.429
Pithecellobium_species16,225.196
Acacia_species16,164.318
Mimosa_species37,251.63
Acacia_species86,554.482
Acacia_species384,600.28
